Search Term,Source,Title,Article Content
officer terminated,https://www.foxnews.com/us/derek-chauvin-wife-charged-tax-crimes,"Derek Chauvin, fired Minneapolis police officer, and his wife charged with tax crimes","Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com. The former Minneapolis cop charged with murder in the May 25 death of George Floyd is now, along with his wife, facing tax evasion charges. Derek Chauvin, 46, and his wife, Kellie May Chauvin, 45, were each charged in Washington County on Wednesday with six counts of filing false or fraudulent tax returns for the tax years 2014 through 2019, and three counts of failing to file tax returns for 2016, 2017 and 2018, respectively. The Chauvins’ underreported income from 2014 to 2019 totaled more than $464,000 and they allegedly owed nearly $22,000 in taxes, the Star Tribune reported. With interest, late filing and penalties, they now owe an estimated $37,868, according to the charges. Floyd, a Black man who was handcuffed, died after Chauvin pressed his knee against Floyd's neck for nearly nine minutes as Floyd pleaded for air. Chauvin was charged last month with second-degree murder and manslaughter. He and three other officers who were at the scene were fired. Chauvin is in custody on the charges in the Floyd case. Kellie Chauvin, who filed for divorce after Floyd's death, is not in custody. Washington County Attorney Pete Orput said the investigation into the Chauvins was started in June by the Minnesota Department of Revenue and Oakdale Police Department. Authorities allege in the criminal complaints that the Chauvins failed to file income tax returns and pay state income taxes, and that they underreported and underpaid taxes on income they earned from various jobs each year. The complaints allege that they also failed to pay proper sales tax on a $100,000 BMW purchased in Minnesota in 2018. Prosecutors say the Chauvins bought the car in Minnetonka but registered it in Florida, where they paid lower sales taxes. The Associated Press contributed to this report. This material may not be published, broadcast, rewritten, or redistributed. ©2020 FOX News Network, LLC. All rights reserved. All market data delayed 20 minutes."
officer terminated,https://denver.cbslocal.com/video/4639349-lawsuit-jason-rosenblatt-officer-fired-over-elijah-mcclain-photo-denied-hearing/,"Lawsuit: Jason Rosenblatt, Officer Fired Over Elijah McClain Photo, Denied Hearing",
officer terminated,https://www.khou.com/article/news/local/baytown-police-officer-fired-after-arrest-video-goes-viral/285-14138bad-72e9-48c0-9149-5b587d132186,"Houston's Leading Local News: Weather, Traffic, Sports and more | Houston, Texas | KHOU.com","BAYTOWN, Texas — Editor's note: The video above originally aired on June 4 following a protest in Baytown. The Baytown Police Department has fired an officer who was caught on cell phone video roughing up a young man he had arrested for cursing. The Internal Affairs Division began investigating Nathaniel Brown after the video went viral leading to a protest outside the police department. The video shows Brown arresting 24-year-old Skylar Gilmore for “cussing in public,” then throwing him to the ground and kneeing him in the face. “This was my first time going to jail,” Gilmore said after the incident. “I’m a law-abiding citizen, and I got sent to jail for cursing.” After a review, Baytown Police Chief Keith Dougherty concluded Brown’s actions did not align with the department’s “professional standards and values.” ""The Baytown Police Department takes allegations of wrongdoing or misconduct by our officers very seriously,” the chief said in a statement. “The trust and confidence of our community is paramount and as such we hold our officers to the highest levels of integrity as well as moral, ethical and professional standards.” Gilmore was with his friends, Isaiah Benavides and Isaiah Phillips on June 2, when another friend, Jostin Moore, was pulled over in a separate car outside the Baytown Market Convenience Store. Benavides started recording the traffic stop where Moore was arrested for unspecified traffic violations and an outstanding warrant out of Deer Park. The three friends were questioning why Moore was being arrested. That’s when Brown handcuffed Gilmore “for cussing” and roughed him up, while a second officer grabbed Phillips from behind. “They slammed me on my friend Skylar’s hood, used my face to dent his hood,” Phillips said. “That’s not proper.” Baytown Police Chief Keith Dougherty filed the complaint against the officers. “I try to hold people accountable, and I feel the frustration,” Chief Dougherty said after the incident. It’s not clear if any action was taken against the second unidentified officer. Gilmore and Phillips were charged with disorderly conduct for using profanity. A separate charge of interfering with public duties was dropped because of lack of evidence. ALSO POPULAR ON KHOU.COM Notifications can be turned off anytime in the browser settings."
officer terminated,https://www.startribune.com/lawsuit-officer-fired-over-mcclain-photo-denied-hearing/571868371/,Lawsuit: Officer fired over McClain photo denied hearing,"DENVER — A suburban Denver police officer fired for his reaction to photos appearing to mock the death of a Black man who was stopped by police last year says he was denied a review hearing as required by city and police regulations, according to a lawsuit against officials. Jason Rosenblatt filed a lawsuit against Aurora Interim Police Chief Vanessa Wilson and Aurora City Manager Jim Twombly on July 2, the day before he was told he would be fired, asking a judge to declare that he had a right to an independent review board hearing. According to the lawsuit, first reported by KDVR-TV, Wilson said that a hearing was not required and that she had discretion as police chief not to hold one. The lawsuit requested that the court hold a hearing on the issue quickly to prevent ""immediate and irreparable harm."" The status of the case now is not clear because Rosenblatt has already been fired over his reaction to the photos related to Elijah McClain's death. A spokesperson for the city would not comment on the case because of pending litigation. Rosenblatt's lawyer did not return a telephone call seeking comment. Rosenblatt, one of the officers who arrested McClain in August, received the photo depicting Kyle Dittrich, Erica Marrero and Jaron Jones smiling as they reenacted the chokehold their colleagues used on McClain, who died after police stopped him as he walked down the street in the Denver suburb of Aurora. Rosenblatt responded by text with ""Haha."" Wilson launched an investigation into two photos taken by the officers after another officer reported that they were taken near where the 23-year-old was stopped — a site that's now a memorial. She called the photos ""a crime against humanity and decency."" Rosenblatt, Marrero and Dittrich were fired for conduct unbecoming of an officer. Jaron Jones resigned. Dittrich and Marrero filed appeals of their termination in early July with the Aurora Civil Service Commission. McClain's death drew national attention in the wake of nationwide protests over police brutality and racial injustice. After facing increasing pressure, Democratic Gov. Jared Polis told the state attorney general to reopen the case in June after prosecutors last year declined to charge the three white officers who confronted McClain. On Monday, the Aurora city council announced a new independent investigator, Jonathan Smith, executive director of the Washington Lawyers' Committee for Civil Rights and Urban Affairs, who will lead a three-person team to review the case. Aurora's previous investigative hire came under scrutiny for his previous work in law enforcement and was taken off the case Officers stopped McClain, a massage therapist, after a 911 call on Aug. 24, 2019, reported him because he was wearing a ski mask and flailing his arms. Police said they had a right to stop him because he was ""being suspicious."" He begged them repeatedly to let go of him, according to body-camera video. Police placed him in a chokehold that cuts off blood to the brain, and paramedics administered 500 milligrams of a sedative to calm him down. He suffered cardiac arrest, then was later declared brain dead and taken off life support. © 2020 StarTribune. All rights reserved."
officer terminated,https://www.azcentral.com/story/news/local/phoenix/2020/07/23/phoenix-officer-charged-sexually-assaulting-handcuffed-woman-fired/5496217002/,Phoenix police fired an officer charged with sexually assaulting handcuffed woman,"The Phoenix Police Department fired an officer who prosecutors recently charged with three felonies after one woman claimed he raped her and another claimed he required her to perform sexual acts, both times while he was on duty. In a statement, a police spokesperson said former officer Sean Pena was fired from his job on Wednesday. ""The process of ending Pena's employment with the City of Phoenix was finalized,"" Sgt. Ann Justus said. A three-count indictment accuses Sean Pena, 24, of having sex with one woman without her consent in August 2018 while she was in police custody. The indictment also accuses Pena of sexually assaulting a different woman who he was tasked to do a welfare check on in June 2019. In June, prosecutors filed one charge of sexual assault and two charges of unlawful sexual conduct. If found guilty on all three charges, he could face at least five years and a maximum of 19 years in prison. Pena made his first court appearance on July 17. He pleaded not guilty through his lawyer, Jess Lorona. A probable-cause statement says that in the 2018 case, a woman reported to Phoenix police that Pena arrested her at a park in connection to an outstanding warrant in Yavapai County. The woman told police that Pena forced her to have sex while she was handcuffed in the back of his patrol vehicle, the statement says. A rape kit was performed but Pena's DNA was not found on the swabs, the statement says. Surveillance video footage near where the assault occurred could not corroborate or refute the woman's allegations, the statement says. In the 2019 case, a woman reported to police that Pena forced her to masturbate him and touched her breast while they were alone, according to the statement. Pena had come into contact with the woman after someone called for a welfare check on her for wandering a street, the statement says. The court statement also says there was no biological evidence found by police to corroborate or refute the woman's claims. Pena has denied both women's allegations, according to the probable cause statement. Uriel Garcia covers public-safety issues in Arizona. Reach him at uriel.garcia@azcentral.com. Follow him on Twitter @ujohnnyg. Support local journalism. Subscribe to azcentral.com today."
officer terminated,https://www.msn.com/en-us/news/us/derek-chauvin-fired-minneapolis-police-officer-and-estranged-wife-face-9-felony-tax-charges/ar-BB174tfZ,Derek Chauvin: Fired Minneapolis police officer and estranged wife face 9 felony tax charges,"The former Minneapolis police officer who was charged in George Floyd's death and his estranged wife face nine felony income-tax charges, according to the Washington County, Minnesota, attorney. Derek Chauvin and his wife, Kellie, did not file income tax returns in the state for some years and underreported income for others, according to court records. Each count carries a maximum five-year prison sentence and a fine of $10,000. Derek's attorney had no comment on the charges, while Kellie's did not respond to CNN's emailed requests for comment. The investigation began in June 2020 and involved the Minnesota Department of Revenue and Oakdale Police Department, Washington County Attorney Pete Orput said in a release. The Chauvins did not file income tax returns in Minnesota from 2016 to 2018, and underreported income on their 2014, 2015 and 2019 returns, according to court records. Chauvin worked as a Minneapolis police officer during that time as well as working in security at several different Minneapolis businesses, the court records said. Kellie was a realtor and photographer during the time, according to the records. The Chauvins also did not pay proper sales tax on a vehicle they purchased in Minnesota, the complaint said. Derek Chauvin is currently in custody, facing charges of second degree murder in the death of George Floyd. He was fired from the Minneapolis Police Department in May. Kellie Chauvin filed for divorce on June 1. She is not in custody, according to Wednesday's court filing."
officer disciplinary,https://kfor.com/health/coronavirus/norman-police-urge-community-members-to-wear-face-mask-pledge-to-discipline-officers-found-not-wearing-mask-in-public/,"
		Norman police urge community members to wear face mask, pledge to discipline officers found not wearing mask in public	","KFOR.com Oklahoma City An earlier version of this story contained the incorrect county. That has been corrected. NORMAN, Okla. (KFOR) – Norman Police Department officials are encouraging community members to wear a face mask to prevent the spread of COVID-19, and pledged that officers who don’t wear a mask will be disciplined. Norman police issued a news release Thursday concerning the vital importance of wearing a face mask to prevent the spread of COVID-19 as coronavirus cases continue to rise in Cleveland County. But officials started the news release by saying they will take action when an officer does not wear a mask in public. Officials said they are aware of recent complaints and concerns from community members regarding officers not wearing a face mask in public. “The department quickly addressed these concerns and those officers found acting not in compliance with the ordinance have received discipline from their supervisors,” the news release states. The Norman Fraternal Order of Police also took action by admonishing its members and encouraging each of them to wear a mask. Wearing a face covering and properly social distancing is essential in preserving public safety, according to Norman police. “I have noticed that the majority of our community is wearing a mask or face covering when in a public place where social distancing is not possible as well as inside businesses,” said Norman Police Chief Kevin Foster. “I want to express my appreciation to those who are acting in accordance with the ordinance and ask others, even if you disagree with the mandate, to wear a mask when in public and around other community members. I also appreciate residents kindly encouraging their family, friends and neighbors to wear a face covering while out in the public.” The Norman City Council recently passed the ordinance requiring community members to wear face coverings in public places. The Oklahoma State Department of Health reported on Thursday that there have been 23,441 positive cases of COVID-19 in Oklahoma since March. Of those total statewide cases, 1,576 have been in Cleveland County. 40 people in Cleveland County have died from COVID-19. The mask ordinance will be enforced through an education first approach, according to the news release. “Individuals refusing to wear a face covering in a Place of Public Accommodation or Public Setting may be cited for criminal trespass, disturbing the peace, interference with official process, or similar offenses as circumstances warrant,” the news release states. OKLAHOMA CITY (KFOR) - Groceries, backpacks, COVID-19 testing, voter and census registration - those are all things critical to Americans, especially during this time, and on Saturday, a local group of faith leaders are bringing it all to their community - drive-thru style. When the ""People, Police and Pastors Community Cookout"" was canceled due to COVID-19,  organizers found a way to use their resources to serve an even greater need. OKLAHOMA CITY (KFOR) - As coronavirus cases continue to rise across the country, a popular fast-food giant says it is taking additional precautions to protect customers and employees at its restaurants. On Friday, McDonald's announced that it was adding three steps to its protection plan regarding COVID-19."
officer disciplinary,https://buffalonews.com/news/local/crime-and-courts/city-of-buffalo-blocked-from-releasing-portions-of-police-disciplinary-records/article_2acfc25c-cde6-11ea-8d7f-3b130bc09a73.html,"
        
            
            City of Buffalo blocked from releasing portions of police disciplinary records
        
    ","The city's police and firefighter unions filed a lawsuit this week seeking to halt the public disclosure of portions of police officers' and firefighters' disciplinary records. A judge on Friday temporarily blocked the City of Buffalo from publicly releasing three types of records in employees' disciplinary files: unsubstantiated allegations, pending allegations and matters that were the subject of confidential settlement agreements. State Supreme Court Justice Frank A. Sedita III issued a temporary restraining order that prohibits the city and the police and fire departments from releasing such information. Sedita scheduled a hearing on the matter for next month. In June, following a change in state law known as ""50-A,"" the disciplinary records of police officers and firefighters were no longer permitted to be withheld from public requests made through the Freedom of Information Law. That change, aimed at increasing transparency, was prompted by nationwide protests and calls for police reform following the killing of George Floyd by police in Minneapolis. But attorneys for the Buffalo Police Benevolent Association and Buffalo Professional Firefighters Association, Local 282, argue the city should still be bound from releasing information about disciplinary matters involving unsubstantiated or pending allegations, or subject to confidential settlement agreements, based on other legal protections. Those include the local union contracts and the state constitution. ""No actual evidence is required to make a complaint against a Buffalo police officer or firefighter,"" the unions' attorneys wrote in court papers. ""False or otherwise meritless claims can be brought against members of the police and fire departments based on any number of nefarious or malicious motivations."" Making public the records of those types of complaints – which attorneys said were unproven ""at best, and which are entirely false allegations against them at worst"" – destroys an individual's reputation and privacy, as well as makes them less safe, attorneys John J. Gilmour and Daniel M. Killelea wrote. Earlier this month, the police department began releasing disciplinary records based on Freedom of Information Law requests. In many cases, the department has provided what the department calls an officer's ""disciplinary card."" These documents include some identifying information about the employee, as well as a chart listing the type of complaint, the date an internal affairs case was opened and the disposition of the case. The lawsuit, filed late Wednesday, does not seek to block the release of full complaint history found in employees' disciplinary records. The police union says it made an agreement with the city in May 2018 that the department would remove from an officer's records after five years ""information concerning complaints which did not result in members' guilty pleas or findings of guilt."" One set of disciplinary records that were released earlier this month were those of Buffalo Police Lt. Michael DeLong, who was recorded on video in late June calling the woman recording him a vulgar name. The police union filed a grievance July 10 alleging the 2018 agreement was violated in DeLong's case because what was released contained information that should have been removed, according to court documents filed as part of the lawsuit. The union also filed a grievance Tuesday on behalf of an unspecified number of other officers whose records were released by the department a day earlier. In addition to seeking to prevent the release of pending or unsubstantiated allegations, the unions' lawsuit seeks to block the city from releasing disciplinary records that are subject to confidential settlement agreements made prior to June 12, when the change to 50-A went into effect. The disciplinary cards of police officers obtained by The Buffalo News through Freedom of Information Law requests have included no details on the incidents that led to the complaints. The records list the type of complaint. Some of the categories are excessive force; racial profiling; violation of departmental procedures, including cases involving motor vehicle accidents and calling in sick; off-duty conduct; and harassing conduct. The records have included a variety of dispositions, including complaints that are not sustained and when an officer is deemed exonerated. A city spokesman declined comment. A federal judge in New York City issued a similar ruling this week in a lawsuit involving police and other public safety unions. Get the latest in local public safety news with this weekly email. I'm a member of The Buffalo News' breaking news/criminal justice team. I've been a News staffer since 2007, with nearly all of that time spent as a reporter. Email notifications are only sent once a day, and only if there are new matching items. Six of the 36 complaints against Lt. Michael DeLong since 2001 have been ""sustained,"" according to records. The News has obtained disciplinary records of four Buffalo officers accused of using excessive force in two high-profile incidents this year. By Denis Slattery ALBANY – As mass civil unrest over police brutality against African Americans engulfs the nation, New York lawmakers took action Tuesday by voting to repeal 50-a, a state law used by police departments to shield disciplinary records. The Democrat-led legislature approved the long-stalled reform of the statute – which is routinely used to keep the public Get up-to-the-minute news sent straight to your device."
officer disciplinary,https://www.mytwintiers.com/crime/judge-blocks-release-of-new-york-police-discipline-records/,"
		Judge blocks release of New York police discipline records	","WETM - MyTwinTiers.com NEW YORK (AP) — A federal judge has halted the public release of police officer disciplinary records in New York, temporarily turning back a state transparency reform enacted in the wake of the police killing of George Floyd. Judge Katherine Polk Failla granted a temporary restraining order late Wednesday barring police departments and other entities in the state from disclosing discipline records until at least Aug. 18, when she’ll hear arguments in a union lawsuit challenging their release. Failla took over the case when it was transferred from state court, extending and expanding an existing stay that paused public disclosure of records concerning unsubstantiated and non-finalized allegations or settlement agreements. The Police Benevolent Association, representing New York City police officers and other public safety unions, sued the city on July 15 to block Mayor Bill de Blasio from making good on a promise to post a database of misconduct complaints online. The unions argued that posting unproven or false complaints could sully officers’ reputations and compromise their safety. “The battle to protect the safety and due process right of public safety officers and police goes forward,” said Hank Sheinkopf, a spokesperson for the union coalition. A lawyer for the city’s police watchdog agency, the Civilian Complaint Review Board, said the ruling is blocking the agency from “making the public aware of complaints against the people who are supposed to be protecting them.” Matthew Kadushin, the agency’s general counsel, said he’s confident the city will prevail. In issuing the temporary restraining order, Failla also barred the New York chapter of the American Civil Liberties Union from publicly releasing records it had already obtained in the wake of last month’s repeal of the law keeping them secret, finding that the organization had somehow been “acting in concert” with city government. The organization, which often tangles with the city in court, said it obtained officer misconduct complaints from the CCRB under the state’s open records law. The NYCLU said it received the records before the union’s lawsuit was filed and was not a party to it. “The federal court has no authority to bar us from making it public, and we will contest this unprecedented order as quickly as possible,” said Christopher Dunn, the organization’s legal director. “With the repeal of section 50-a, the public is entitled to have access to complete information about police misconduct, and we have an absolute right to share with the public the information we have.” New York lawmakers, spurred to action last month by protests over Floyd’s death in Minneapolis and other police misconduct, repealed the 50-a law that for decades blocked the public disclosure of disciplinary records for police officers, as well as firefighters and correctional officers. While the law was on the books, the officers’ unions sued to make it even more restrictive so that the public and even the victims of police misconduct couldn’t learn the outcomes of internal discipline hearings. In the wake of the repeal, the CCRB moved quickly to respond to requests for the newly available records — a process now on hold because of the temporary restraining order. The NYPD, which also probes complaints through its internal affairs bureau, has yet to respond to requests from The Associated Press and other news media outlets for its disciplinary records. Copyright 2020 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. WAVERLY, N.Y. (WETM) - Waverly Police are investigating a reported home invasion and robbery at a home on Chemung Street in Waverly on July 23. The elderly victim's reported that on 7/23/2020 at 4:45 p.m., three males forced entry into the house and stole money. Susquehanna Township, Pa. (WHTM) -- One person is dead and several others are injured following the end of a police chase, according to Dauphin County District Attorney Fran Chardo. Chardo says Lower Paxton Township police cut off the pursuit of a driver who apparently kept going through the intersection and collided with other cars, which killed him. The crash occurred near the intersection of South Progress Avenue and Union Deposit Road and involved four vehicles. ULSTER, Pa. (WETM) - Jodie Simons, 36, of Ulster was sentenced to Probation Supervision for 24 months, fines of $100.00, restitution of $250.00, plus court costs, for leaving three dogs out in the cold last year. Pennsylvania State Police were alerted to a residence on Nov. 2 where the dogs were reported to be in poor health without food, clean water, or proper shelter. Police found the animals in outdoor crates covered in feces."
officer disciplinary,https://pressofatlanticcity.com/news/national/officer-who-killed-black-man-says-he-feared-for-his-life/article_5ddfe0f9-3fe9-5313-9ad7-6e743ae9c211.html,"
        
            
            Officer who killed Black man says he feared for his life
        
    ","PHOENIX (AP) — An Arizona state trooper who killed a Black man nearly two months ago during a roadside struggle in Phoenix said he fired his gun because he feared for his life as the man refused to let go of the officer’s arm that was holding the firearm, according to police reports released earlier this week. Trooper George Cervantes, whose fatal shooting of Dion Johnson inspired marches against police violence in Phoenix, told investigators that a partially handcuffed Johnson had already pulled part of the officer’s body into the car through an open door. He said he feared he would lose control of his gun if Johnson continued to overpower him, so he shot Johnson in the torso, leading to his death. The reports provide new details on the officer’s account of the May 25 shooting along the Loop 101 freeway. Authorities also released records showing Cervantes received an 80-hour suspension in 2013 for a series of violations of policy. The violations included shooting his girlfriend’s puppy with a stun gun in an attempt to discipline the pet and using a state vehicle to leave a note on the car of his former girlfriend, who had been at odds with him and found the anonymous note to be worrisome. Efforts to contact Cervantes for comment through phone records and social media weren’t successful. A message left for Jocquese Blackwell, an attorney representing Johnson’s family, wasn’t immediately returned Friday. Thousands of demonstrators took the street in downtown Phoenix last month to protest the deaths of Johnson and George Floyd, who died on the same day as Johnson as Minneapolis police tried to arrest him. The reports say Johnson’s encounter with Cervantes started when the trooper saw Johnson passed out in a car that smelled of alcohol and had a handgun sitting on the seat. A toxicology report shows Johnson had methamphetamine, the synthetic opioid fentanyl and marijuana in his system. The officer took the gun and secured it on his motorcycle and then returned to the car to arrest Johnson, who was by then seen moving around. Cervantes cuffed one of Johnson’s hands, marking the beginning of the struggle, according to the reports. The officer said he feared that Johnson was going to push him into a lane of traffic with his legs, so he pulled out his gun and told him to stop resisting arrest or he would be shot. Cervantes said he started to re-holster his gun when he felt the threat had lessened, but then Johnson grabbed his arm that was holding the officer’s gun. The officer told investigators that Johnson leaned back, pulled on the trooper and used his legs as leverage to pull part of the officer’s body into the vehicle through an open door. The trooper also said he feared Johnson would get hold of his gun if he were further drawn into the car, so he shot Johnson. About seven years ago, Cervantes acknowledged to internal affairs investigators that he shot his then-girlfriend’s Boxer puppy with a department-issued stun gun because the pet was digging holes in her yard. Authorities say Cervantes also drove his patrol vehicle to a parking lot where he left an anonymous note on his ex-girlfriend’s vehicle saying, “I see you. I know where you live.” His former girlfriend was frightened because she thought she was being stalked, leading police to open an investigation. Investigators said Cervantes claimed the note was a joke. Cervantes, a 15-year veteran of The Arizona Department of Public Safety, was put on paid leave after Johnson’s death. Prosecutors are reviewing Johnson’s death to determine whether charges are warranted. Copyright 2020 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed without permission. PLEASE BE ADVISED: Soon we will no longer integrate with Facebook for story comments. The commenting option is not going away, however, readers will need to register for a FREE site account to continue sharing their thoughts and feedback on stories. If you already have an account (i.e. current subscribers, posting in obituary guestbooks, for submitting community events), you may use that login, otherwise, you will be prompted to create a new account. Your comment has been submitted. There was a problem reporting this. A Press series in which local notables take us on a tour of a favorite spot in their home. RICHIEBUYS EVERYCAR.COM (Junk/used cars,any make or model) 609-485-0012 #NJG0139190S Get up-to-the-minute news sent straight to your device."
officer disciplinary,https://whyy.org/articles/new-police-reform-law-exempts-officer-disciplinary-records-database-from-public-disclosure/,New police reform law exempts officer disciplinary records database from public disclosure,"Planet Money is on a quest to explain the economy with playful storytelling and deep dive, roll up your sleeves journalism. How I Built This host Guy Raz talks to entrepreneurs and idealists who take us through the often challenging journeys they took to build their businesses. Pennsylvania Governor Tom Wolf says two bills into law, making changes to certain aspects of law enforcement, on July 14, 2020. (Ed Mahon / PA Post) This story originally appeared on PA Post. A new law signed by Governor Tom Wolf will give Pennsylvania police departments greater access to disciplinary records for officers during the hiring process. It creates a statewide database of separation records, including criminal charges filed against an officer, ethical or civil complaints, and binding and final disciplinary actions. Pennsylvania law enforcement agencies are required to search the database when hiring a new officer, and backers of the measure say it’s aimed at preventing deaths like the 2018 killing of 17-year-old Antwon Rose II in East Pittsburgh. The goal is to give local agencies the ability to dig into job candidates’ backgrounds. Act 57 swiftly moved through the Pennsylvania General Assembly after nationwide protests over the death in Minneapolis of George Floyd while in police custody. Multiple law enforcement agencies, including the Pennsylvania State Troopers Association and the Pennsylvania FOP, endorsed the the new law. But the new law provides only limited access to that information for members of the public, specifically exempting most of the employment records in the database from the state’s Right-to-Know Law. Some states provide more public access to police officer disciplinary records. In 2015, WNYC found that 12 states make disciplinary records generally available to the public, another 15 make those documents available in some situations, and 23, including Pennsylvania, make them confidential. Last month, New Jersey’s governor and attorney general took action to make public more disciplinary information about police officers. New Jersey State Police said it would publish the name of all all state troopers, over the past 20 years, who received suspensions of more than 180 days or whose employment was terminated as a result of misconduct. Meanwhile, the N.J. attorney general’s office said it would require all law enforcement agencies to publish the names of law enforcement officers who have been terminated, demoted, or suspended for more than five days. Pennsylvania Attorney General Josh Shapiro, a Democrat, said he supports making more information about disciplinary records public, but he said Act 57 is focused on the hiring process. He said representatives for the public, whether it’s a police chief or mayor, will have access to disciplinary information under the law. “They can then be held accountable by the public for the decision that they make,” Shapiro said at a bill signing news conference outside the Pennsylvania Commission on Crime and Delinquency office in  Harrisburg. “That’s where the transparency comes in. That’s where meaningful change comes.” Act 57 does say some information should be disclosed to the broader public. If a law enforcement agency chooses to hire someone who has received final and binding discipline or been criminally convicted for any of 10 types of behavior, then the hiring agency is required to file a report “that indicates the … reasoning and rationale” for hiring the person. Wolf, a Democrat, characterized the two bills he signed as small, but important steps “toward what we have to do to make our society fair."" The 10 types of behavior that require a hiring report are: excessive force, harassment, theft, discrimination, sexual abuse, sexual misconduct, domestic violence, coercion of a false confession, filing a false report and a judicial finding dishonest. The law says those hiring reports, which must be submitted to the Municipal Police Officers’ Education and Training Commission, are “subject to disclosure” under the Right-to-Know law. State Rep. Chris Rabb (D-Philadelphia) said this level of  transparency will increase accountability and make it less likely that law enforcement agencies will hire people with red flags. “In that hiring report, they’re going to have to explain why they ignored these red flags,” Rabb said.  “Now what happens when you ask a law enforcement agency, why did you hire this person? Do you think the chief of police wants to answer those questions?” Still, even though the law says hiring reports are covered by the Right-to-Know Law, an attorney with the Pennsylvania News Media Association, Melissa Melewsky, said it’s not clear how much information agencies will release. She said agencies could still review the hiring reports and decide that parts shouldn’t be released because of existing exemptions in the open records law. “There’s a lot to be figured out here when it’s put into practice,” Melewsky said. Erik Arneson, executive director of the state’s Office of Open Records, which hears appeals in open records cases for most agencies, said he thinks the law clearly requires agencies to release the full, unredacted hiring report. “The legislative intent, it seems to me, is crystal clear,” Arneson said. The law does not specify what details law enforcement agencies have to provide in those hiring reports. Arneson said he expects law enforcement agencies will vary across the state in how they handle these hiring reports, but he recommends they provide significant detail to explain the decision. “If somebody decides to take a very minimalistic approach to putting together one of these reports, I think that’s just going to lead to more questions,” Arneson said. “In cases like this, experience has taught us that it is very smart to get out in front of it and do a full, credible job upfront, rather than having to backfill later on when questions emerge.” Wolf on Tuesday also signed into law Act 59, which requires law enforcement officers to undergo mental health evaluations after using deadly force. Several Democratic lawmakers said Wolf’s signing of the two bills represented a first but significant step for law enforcement reforms. Senate Democrats, meanwhile, are waiting on the House Judiciary Committee to take action on a bill that would require police departments to adopt use-of-force policies that ban choke holds to detain someone, and a bill that would require law enforcement agencies submit information to state police about incidents when officers use force. Tuesday’s signing came a little over a month after Black Democratic lawmakers protested on the Pa. House floor. “For too often African-American legislators in the statehouse have been overlooked. Their issues have been overlooked,” said state Rep. Jason Dawkins (D-Philadelphia). “Their folks that they represent back home have been overlooked. And we decided no more. So we decided to do something about it.” Listen anytime, anywhere. Lehigh County District Attorney Jim Martin said the restraint was ""reasonable."" The decision has set up a confrontation between the federal government’s directives, the state legislature’s intent, and the governor’s powers. Wolf withheld nearly $13 million in funding from Lebanon County, where local Republican leaders voted in mid-May to lift pandemic restrictions in defiance of the governor. Casinos in Pa. and N.J. have finally banned smoking. Why now? Univ. of Delaware study: Vulnerable communities twice as likely to catch COVID-19 Want a digest of WHYY’s programs, events & stories? Sign up for our weekly newsletter. Help us get to 100% of our membership goal to support the reporters covering our region, the producers bringing you great local programs and the educators who teach all our children. WHYY connects you to your community and the world by delivering reliable information and worthwhile entertainment."
officer disciplinary,https://www.msn.com/en-us/news/us/grand-chute-police-will-not-take-disciplinary-action-against-officer-who-posted-racist-tweets-in-high-school/ar-BB1773gU,Grand Chute police will not take disciplinary action against officer who posted racist tweets in high school,"GRAND CHUTE - No disciplinary action will be taken against a Grand Chute police officer for racist, homophobic and violent social media posts made when he was in high school. Police Chief Greg Peterson announced the decision Thursday following a nearly two-month long investigation into posts by officer Bryce La Luzerne that were reported to the department at the end of May. Peterson said that since the comments were made prior to La Luzerne joining the force in 2017, he was not bound by the department's code of conduct. In addition, an investigation into La Luzerne's conduct as an officer found ""that the allegations presented in the anonymous complaint have not been exhibited in any aspect of Officer La Luzerne's performance with the Grand Chute Police Department since his date of hire,"" Peterson wrote. La Luzerne's social media posts prompted a protest outside the police station at the beginning of July, where about 50 people gathered to demand the department fire him. Tweets pictured in screenshots shared on Facebook date back to between 2011 and 2014 and use racial slurs, homophobic language and mention murder. The department also examined a more recent post La Luzerne made on Instagram in October. The post shows a photo of a handgun and references the Boogaloo movement, which has ties to white supremacy and radical libertarianism, according to USA TODAY. As part of the investigation, the department reviewed La Luzerne's social media and internet search history, his hiring process, arrest record, use of force incidents and complaints filed against him. The department also conducted interviews with people who knew La Luzerne in high school. The investigation did not reveal evidence of bias or prejudice, Peterson said. He said the department decided to conduct a ""meticulous"" investigation to uphold the community's trust in the department, though he recognized that trust has already been damaged ""based solely on the egregious nature of the allegations."" ""The comments shared by Officer La Luzerne as a teenager were reprehensible,"" Peterson wrote. ""Making no excuse for his conduct, he is in full agreement, stating so in a written apology he has given me. Acknowledging the pain arising from his actions, he has also expressed his desire to 'restore the trust and repair the damage' that his past words have caused. We share in this sentiment."" Contact Natalie Brophy at (715) 216-5452 or nbrophy@gannett.com. Follow her on Twitter @brophy_natalie. Our subscribers make this coverage possible. Click to see The Post-Crescent's special offers at postcrescent.com/subscribe and download our app on the App Store or Google Play."
